CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F989,F991,F992,F993,F994,F995,
,,,,,Car or van availability : Total\ Car or van availability - Unit : Households,Car or van availability : No cars or vans in household - Unit : Households,Car or van availability : 1 car or van in household - Unit : Households,Car or van availability : 2 cars or vans in household - Unit : Households,Car or van availability : 3 cars or vans in household - Unit : Households,Car or van availability : 4 or more cars or vans in household - Unit : Households,
115799,E00056999,E00056999,Output Areas and Small Areas,OASA,123,39,58,23,2,1,
115800,E00057000,E00057000,Output Areas and Small Areas,OASA,107,56,45,6,0,0,
115801,E00057001,E00057001,Output Areas and Small Areas,OASA,145,55,64,24,1,1,
115802,E00057002,E00057002,Output Areas and Small Areas,OASA,109,36,55,13,5,0,
115803,E00057003,E00057003,Output Areas and Small Areas,OASA,131,29,74,23,3,2,
115804,E00057004,E00057004,Output Areas and Small Areas,OASA,90,28,42,16,4,0,
115805,E00057005,E00057005,Output Areas and Small Areas,OASA,113,85,23,4,1,0,
115806,E00057006,E00057006,Output Areas and Small Areas,OASA,116,25,63,25,0,3,
115807,E00057007,E00057007,Output Areas and Small Areas,OASA,130,41,58,26,4,1,
115808,E00057008,E00057008,Output Areas and Small Areas,OASA,98,19,53,21,1,4,
115809,E00057009,E00057009,Output Areas and Small Areas,OASA,143,77,50,14,2,0,
115810,E00057010,E00057010,Output Areas and Small Areas,OASA,98,14,48,32,4,0,
115811,E00057011,E00057011,Output Areas and Small Areas,OASA,188,46,99,35,7,1,
115812,E00057012,E00057012,Output Areas and Small Areas,OASA,141,86,46,8,1,0,
115813,E00057013,E00057013,Output Areas and Small Areas,OASA,74,46,24,4,0,0,
115814,E00057014,E00057014,Output Areas and Small Areas,OASA,139,91,39,7,1,1,
115815,E00057015,E00057015,Output Areas and Small Areas,OASA,138,109,27,2,0,0,
115816,E00057016,E00057016,Output Areas and Small Areas,OASA,140,65,60,13,2,0,
115817,E00057017,E00057017,Output Areas and Small Areas,OASA,125,42,53,20,10,0,
115818,E00057018,E00057018,Output Areas and Small Areas,OASA,111,51,46,11,3,0,
115819,E00057019,E00057019,Output Areas and Small Areas,OASA,147,60,61,25,1,0,
115820,E00057020,E00057020,Output Areas and Small Areas,OASA,146,114,27,5,0,0,
115821,E00057021,E00057021,Output Areas and Small Areas,OASA,124,41,61,20,2,0,
115822,E00057022,E00057022,Output Areas and Small Areas,OASA,125,58,41,23,1,2,
115823,E00057023,E00057023,Output Areas and Small Areas,OASA,141,92,42,6,0,1,
115824,E00057024,E00057024,Output Areas and Small Areas,OASA,153,77,55,16,4,1,
115825,E00057025,E00057025,Output Areas and Small Areas,OASA,120,31,70,18,1,0,
115826,E00057026,E00057026,Output Areas and Small Areas,OASA,125,26,62,30,4,3,
115827,E00057027,E00057027,Output Areas and Small Areas,OASA,155,78,63,12,1,1,
115828,E00057028,E00057028,Output Areas and Small Areas,OASA,125,51,53,19,2,0,
115829,E00057029,E00057029,Output Areas and Small Areas,OASA,153,100,46,6,1,0,
115830,E00057030,E00057030,Output Areas and Small Areas,OASA,157,116,35,5,1,0,
115831,E00057031,E00057031,Output Areas and Small Areas,OASA,120,44,55,17,4,0,
115832,E00057032,E00057032,Output Areas and Small Areas,OASA,147,93,41,9,3,1,
115833,E00057033,E00057033,Output Areas and Small Areas,OASA,147,116,30,0,1,0,
115834,E00057034,E00057034,Output Areas and Small Areas,OASA,201,85,83,28,5,0,
115835,E00057035,E00057035,Output Areas and Small Areas,OASA,129,41,66,18,4,0,
115836,E00057036,E00057036,Output Areas and Small Areas,OASA,137,55,62,16,3,1,
115837,E00057037,E00057037,Output Areas and Small Areas,OASA,133,72,43,17,1,0,
115838,E00057038,E00057038,Output Areas and Small Areas,OASA,138,75,48,14,1,0,
115839,E00057039,E00057039,Output Areas and Small Areas,OASA,130,82,35,12,0,1,
115840,E00057040,E00057040,Output Areas and Small Areas,OASA,115,30,60,21,3,1,
115841,E00057041,E00057041,Output Areas and Small Areas,OASA,113,35,46,27,4,1,
115842,E00057042,E00057042,Output Areas and Small Areas,OASA,114,53,44,17,0,0,
115843,E00057043,E00057043,Output Areas and Small Areas,OASA,127,78,42,6,0,1,
115844,E00057044,E00057044,Output Areas and Small Areas,OASA,118,34,55,22,5,2,
115845,E00057045,E00057045,Output Areas and Small Areas,OASA,124,48,64,12,0,0,
115846,E00057046,E00057046,Output Areas and Small Areas,OASA,117,30,65,21,0,1,
115847,E00057047,E00057047,Output Areas and Small Areas,OASA,111,36,59,12,4,0,
115848,E00057048,E00057048,Output Areas and Small Areas,OASA,136,61,57,15,3,0,
115849,E00057049,E00057049,Output Areas and Small Areas,OASA,131,65,53,11,0,2,
115850,E00057050,E00057050,Output Areas and Small Areas,OASA,132,41,74,17,0,0,
115851,E00057051,E00057051,Output Areas and Small Areas,OASA,215,48,107,54,6,0,
115852,E00057052,E00057052,Output Areas and Small Areas,OASA,144,59,61,23,1,0,
115853,E00057053,E00057053,Output Areas and Small Areas,OASA,97,57,31,8,1,0,
115854,E00057054,E00057054,Output Areas and Small Areas,OASA,117,10,53,47,6,1,
115855,E00057055,E00057055,Output Areas and Small Areas,OASA,126,45,56,19,2,4,
115856,E00057056,E00057056,Output Areas and Small Areas,OASA,119,53,52,13,1,0,
115857,E00057057,E00057057,Output Areas and Small Areas,OASA,111,15,58,34,3,1,
115858,E00057058,E00057058,Output Areas and Small Areas,OASA,118,35,54,22,4,3,
115859,E00057059,E00057059,Output Areas and Small Areas,OASA,90,29,44,15,2,0,
115860,E00057060,E00057060,Output Areas and Small Areas,OASA,105,16,44,37,5,3,
115861,E00057062,E00057062,Output Areas and Small Areas,OASA,128,33,67,24,4,0,
115862,E00057063,E00057063,Output Areas and Small Areas,OASA,112,27,52,25,6,2,
115863,E00057064,E00057064,Output Areas and Small Areas,OASA,100,60,24,15,1,0,
115864,E00057065,E00057065,Output Areas and Small Areas,OASA,111,24,70,17,0,0,
115865,E00057066,E00057066,Output Areas and Small Areas,OASA,184,110,61,11,2,0,
115866,E00057067,E00057067,Output Areas and Small Areas,OASA,203,67,90,38,6,2,
115867,E00057068,E00057068,Output Areas and Small Areas,OASA,117,55,53,8,1,0,
115868,E00057069,E00057069,Output Areas and Small Areas,OASA,124,40,59,23,2,0,
