CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,Dependent children : With dependent children - Long-term health problem or disability; number of people : 1 person in household with a long-term health problem or disability - Unit : Households,Dependent children : No dependent children - Long-term health problem or disability; number of people : 1 person in household with a long-term health problem or disability - Unit : Households
30495,E01011572,Leeds 004C,Lower Super Output Areas and Data Zones,LSOADZ,18,133
30496,E01011573,Leeds 004D,Lower Super Output Areas and Data Zones,LSOADZ,16,94
30497,E01011574,Leeds 004E,Lower Super Output Areas and Data Zones,LSOADZ,20,219
30498,E01011576,Leeds 007C,Lower Super Output Areas and Data Zones,LSOADZ,21,106
30499,E01011578,Leeds 011D,Lower Super Output Areas and Data Zones,LSOADZ,21,141
30500,E01011579,Leeds 014C,Lower Super Output Areas and Data Zones,LSOADZ,16,88
30501,E01011580,Leeds 014D,Lower Super Output Areas and Data Zones,LSOADZ,14,115
30502,E01011581,Leeds 003A,Lower Super Output Areas and Data Zones,LSOADZ,34,138
30503,E01011582,Leeds 003B,Lower Super Output Areas and Data Zones,LSOADZ,40,217
30504,E01011583,Leeds 003C,Lower Super Output Areas and Data Zones,LSOADZ,28,113
30505,E01011584,Leeds 003D,Lower Super Output Areas and Data Zones,LSOADZ,16,100
30506,E01011585,Leeds 062A,Lower Super Output Areas and Data Zones,LSOADZ,22,158
30507,E01011586,Leeds 066A,Lower Super Output Areas and Data Zones,LSOADZ,39,125
30508,E01011587,Leeds 062B,Lower Super Output Areas and Data Zones,LSOADZ,25,122
30509,E01011588,Leeds 039A,Lower Super Output Areas and Data Zones,LSOADZ,26,101
30510,E01011589,Leeds 039B,Lower Super Output Areas and Data Zones,LSOADZ,16,129
