CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,Car or van availability : Total\ Car or van availability - Unit : Households,Car or van availability : No cars or vans in household - Unit : Households,Car or van availability : 1 car or van in household - Unit : Households,Car or van availability : 2 cars or vans in household - Unit : Households,Car or van availability : 3 cars or vans in household - Unit : Households,Car or van availability : 4 or more cars or vans in household - Unit : Households
30390,E01011457,Leeds 027C,Lower Super Output Areas and Data Zones,LSOADZ,591,65,184,274,50,18
30391,E01011458,Leeds 027D,Lower Super Output Areas and Data Zones,LSOADZ,556,37,205,241,55,18
30392,E01011459,Leeds 021C,Lower Super Output Areas and Data Zones,LSOADZ,743,155,357,190,32,9
30393,E01011460,Leeds 028B,Lower Super Output Areas and Data Zones,LSOADZ,655,177,292,156,25,5
30394,E01011461,Leeds 021D,Lower Super Output Areas and Data Zones,LSOADZ,611,46,266,232,53,14
30395,E01011462,Leeds 028C,Lower Super Output Areas and Data Zones,LSOADZ,699,187,319,158,26,9
30396,E01011463,Leeds 028D,Lower Super Output Areas and Data Zones,LSOADZ,749,269,312,142,22,4
30397,E01011464,Leeds 028E,Lower Super Output Areas and Data Zones,LSOADZ,821,115,442,225,32,7
30398,E01011465,Leeds 027E,Lower Super Output Areas and Data Zones,LSOADZ,785,255,342,163,17,8
30399,E01011466,Leeds 094A,Lower Super Output Areas and Data Zones,LSOADZ,654,276,281,83,10,4
30400,E01011467,Leeds 112A,Lower Super Output Areas and Data Zones,LSOADZ,647,325,274,44,4,0
30401,E01011468,Leeds 112B,Lower Super Output Areas and Data Zones,LSOADZ,743,458,244,37,1,3
30402,E01011469,Leeds 094B,Lower Super Output Areas and Data Zones,LSOADZ,641,142,316,151,24,8
30403,E01011470,Leeds 112C,Lower Super Output Areas and Data Zones,LSOADZ,607,243,273,76,12,3
30404,E01011471,Leeds 092A,Lower Super Output Areas and Data Zones,LSOADZ,636,353,225,49,6,3
30405,E01011472,Leeds 092B,Lower Super Output Areas and Data Zones,LSOADZ,700,402,242,49,7,0
30406,E01011473,Leeds 092C,Lower Super Output Areas and Data Zones,LSOADZ,632,359,230,36,3,4
30407,E01011474,Leeds 092D,Lower Super Output Areas and Data Zones,LSOADZ,641,323,253,56,7,2
30408,E01011475,Leeds 094C,Lower Super Output Areas and Data Zones,LSOADZ,690,365,248,60,15,2
30409,E01011476,Leeds 094D,Lower Super Output Areas and Data Zones,LSOADZ,497,221,211,49,14,2
30410,E01011477,Leeds 045A,Lower Super Output Areas and Data Zones,LSOADZ,866,377,369,109,10,1
30411,E01011478,Leeds 056A,Lower Super Output Areas and Data Zones,LSOADZ,752,359,290,77,23,3
30412,E01011479,Leeds 056B,Lower Super Output Areas and Data Zones,LSOADZ,543,259,181,73,22,8
30413,E01011480,Leeds 045B,Lower Super Output Areas and Data Zones,LSOADZ,624,156,311,126,18,13
30414,E01011481,Leeds 056C,Lower Super Output Areas and Data Zones,LSOADZ,639,336,210,69,17,7
30415,E01011482,Leeds 056D,Lower Super Output Areas and Data Zones,LSOADZ,820,358,336,106,14,6
30416,E01011483,Leeds 056E,Lower Super Output Areas and Data Zones,LSOADZ,665,404,203,51,7,0
30417,E01011484,Leeds 033A,Lower Super Output Areas and Data Zones,LSOADZ,671,352,253,55,10,1
30418,E01011485,Leeds 033B,Lower Super Output Areas and Data Zones,LSOADZ,746,342,280,104,19,1
30419,E01011488,Leeds 045C,Lower Super Output Areas and Data Zones,LSOADZ,666,264,272,110,17,3
30420,E01011489,Leeds 045D,Lower Super Output Areas and Data Zones,LSOADZ,823,338,345,108,25,7
30421,E01011490,Leeds 099A,Lower Super Output Areas and Data Zones,LSOADZ,1178,257,568,307,40,6
30422,E01011491,Leeds 101A,Lower Super Output Areas and Data Zones,LSOADZ,608,335,218,49,5,1
30423,E01011492,Leeds 101B,Lower Super Output Areas and Data Zones,LSOADZ,553,309,179,46,18,1
30424,E01011493,Leeds 101C,Lower Super Output Areas and Data Zones,LSOADZ,644,319,254,63,7,1
30425,E01011494,Leeds 101D,Lower Super Output Areas and Data Zones,LSOADZ,541,242,225,60,11,3
30426,E01011496,Leeds 100A,Lower Super Output Areas and Data Zones,LSOADZ,606,47,258,267,23,11
30427,E01011497,Leeds 101E,Lower Super Output Areas and Data Zones,LSOADZ,671,370,208,77,13,3
30428,E01011499,Leeds 105C,Lower Super Output Areas and Data Zones,LSOADZ,1053,162,471,372,38,10
30429,E01011500,Leeds 105D,Lower Super Output Areas and Data Zones,LSOADZ,689,135,292,203,41,18
30430,E01011502,Leeds 099C,Lower Super Output Areas and Data Zones,LSOADZ,595,218,282,75,11,9
30431,E01011504,Leeds 032A,Lower Super Output Areas and Data Zones,LSOADZ,749,368,313,60,6,2
30432,E01011505,Leeds 025A,Lower Super Output Areas and Data Zones,LSOADZ,658,150,298,170,32,8
30433,E01011506,Leeds 025B,Lower Super Output Areas and Data Zones,LSOADZ,513,69,233,168,37,6
30434,E01011507,Leeds 025C,Lower Super Output Areas and Data Zones,LSOADZ,660,103,326,202,17,12
30435,E01011508,Leeds 024A,Lower Super Output Areas and Data Zones,LSOADZ,463,35,185,193,40,10
30436,E01011509,Leeds 023A,Lower Super Output Areas and Data Zones,LSOADZ,637,134,325,150,20,8
30437,E01011510,Leeds 025D,Lower Super Output Areas and Data Zones,LSOADZ,865,451,310,82,15,7
30438,E01011511,Leeds 023B,Lower Super Output Areas and Data Zones,LSOADZ,529,121,221,145,31,11
30439,E01011512,Leeds 023C,Lower Super Output Areas and Data Zones,LSOADZ,654,130,320,159,32,13
30440,E01011513,Leeds 031A,Lower Super Output Areas and Data Zones,LSOADZ,936,110,423,362,34,7
30441,E01011514,Leeds 025E,Lower Super Output Areas and Data Zones,LSOADZ,632,74,297,214,37,10
30442,E01011515,Leeds 023D,Lower Super Output Areas and Data Zones,LSOADZ,652,113,306,192,28,13
30443,E01011516,Leeds 023E,Lower Super Output Areas and Data Zones,LSOADZ,644,76,300,226,26,16
30444,E01011517,Leeds 024B,Lower Super Output Areas and Data Zones,LSOADZ,731,166,372,165,22,6
30445,E01011518,Leeds 093A,Lower Super Output Areas and Data Zones,LSOADZ,957,220,432,253,36,16
30446,E01011519,Leeds 095A,Lower Super Output Areas and Data Zones,LSOADZ,648,196,283,139,25,5
30447,E01011520,Leeds 096A,Lower Super Output Areas and Data Zones,LSOADZ,654,79,328,201,36,10
30448,E01011521,Leeds 096B,Lower Super Output Areas and Data Zones,LSOADZ,908,153,402,289,45,19
30449,E01011522,Leeds 095B,Lower Super Output Areas and Data Zones,LSOADZ,589,60,263,218,36,12
30450,E01011523,Leeds 096C,Lower Super Output Areas and Data Zones,LSOADZ,771,205,317,207,32,10
30451,E01011524,Leeds 093B,Lower Super Output Areas and Data Zones,LSOADZ,540,82,280,143,31,4
30452,E01011525,Leeds 095C,Lower Super Output Areas and Data Zones,LSOADZ,702,144,363,172,16,7
30453,E01011526,Leeds 093C,Lower Super Output Areas and Data Zones,LSOADZ,489,27,206,206,43,7
30454,E01011527,Leeds 096D,Lower Super Output Areas and Data Zones,LSOADZ,772,83,359,263,55,12
30455,E01011528,Leeds 095D,Lower Super Output Areas and Data Zones,LSOADZ,622,62,261,235,51,13
30456,E01011529,Leeds 096E,Lower Super Output Areas and Data Zones,LSOADZ,580,124,265,158,25,8
30457,E01011530,Leeds 106A,Lower Super Output Areas and Data Zones,LSOADZ,651,103,329,186,28,5
30458,E01011531,Leeds 093D,Lower Super Output Areas and Data Zones,LSOADZ,676,141,340,169,19,7
30459,E01011532,Leeds 095E,Lower Super Output Areas and Data Zones,LSOADZ,710,279,295,115,17,4
